"Item","Name","Family","LineScale","LineVendor","Weight","Price","Amount","BaseAmount"
"75","MANITAS DE CERDO","2","2","104","0.31","35","10.85","10.85"
"75","MANITAS DE CERDO","2","2","104","0.41","35","14.35","14.35"
"18","PEINECILLO","1","2","104","0.84","195","163.8","163.8"
"71","CHORIZO","2","3","107","1","122","122","122"
"18","PEINECILLO","1","3","107","0.53","195","103.35","103.35"
"3","BISTEC RES","1","3","107","0.52","192","99.84","99.84"
"43","PIERNA Y MUSLO","3","3","107","2.01","60","120.6","120.6"
"59","PALOMITAS DE POLLO","3","3","107","0.33","95","31.35","31.35"
"3","BISTEC RES","1","3","107","0.52","192","99.84","99.84"
"71","CHORIZO","2","1","107","0.4","122","48.8","48.8"
"66","ESPINAZO","2","3","107","0.49","71","34.79","34.79"
"63","PIERNA DE CERDO","2","3","107","0.9","112","100.8","100.8"
"28","BISTEC REBANADO","1","3","107","1","135","135","135"
"28","BISTEC REBANADO","1","3","107","1","135","135","135"
"26","COSTILLA RES NATURAL","1","3","107","0.73","149","108.77","108.77"
"50","PAPA FRANCESA","3","2","101","0.5","75","37.5","37.5"
"68","LOMO","2","3","107","0.58","119","69.02","69.02"
"48","HAMBURGUESA POLLO","3","3","107","0.59","98","57.82","57.82"
"102","FILETE TILAPIA","4","1","103","0.31","128","39.68","39.68"
"76","CHICHARRON","2","3","107","0.19","295","56.05","56.05"
"69","CHULETA AHUMADA","2","1","103","0.5","127","63.5","63.5"
"69","CHULETA AHUMADA","2","3","107","0.71","127","90.17","90.17"
"18","PEINECILLO","1","1","103","0.77","195","150.15","150.15"
"43","PIERNA Y MUSLO","3","3","107","2.1","60","126","126"
"28","BISTEC REBANADO","1","3","107","0.56","135","75.6","75.6"
"14","MOLIDA MIXTA","2","3","107","0.51","148","75.48","75.48"
"18","PEINECILLO","1","3","107","0.36","195","70.2","70.2"
"45","MILANESA POLLO","3","3","107","0.5","175","87.5","87.5"
"65","FREIR","2","3","107","1.12","112","125.44","125.44"
"14","MOLIDA MIXTA","2","3","107","0.68","148","100.64","100.64"
"71","CHORIZO","2","3","107","0.55","122","67.1","67.1"
"15","HIGADO RES","1","3","107","1.46","70","102.2","102.2"
"54","TENDER","3","3","107","0.46","158","72.68","72.68"
"3","BISTEC RES","1","3","107","0.52","192","99.84","99.84"
"77","ADOBADA","2","1","107","0.56","121","67.76","67.76"
